no,slug,name,prefecture,region,lat,lng,castleType,radiusM
137,fukui,福井城,福井県,北陸,36.064950,136.221840,平城,750
138,echizen_ono,越前大野城,福井県,北陸,35.986545,136.483063,平山城,1000
139,sakaki_kuniyoshi,佐柿国吉城,福井県,北陸,35.613349,135.966288,山城,2000
140,genbao,玄蕃尾城,福井県,北陸,35.598389,136.176389,山城,2000
141,gujo_hachiman,郡上八幡城,岐阜県,東海,35.753292,136.959094,山城,1500
142,naegi,苗木城,岐阜県,東海,35.513080,137.485142,山城,2000
143,mino_kanayama,美濃金山城,岐阜県,東海,35.456605,137.097270,山城,1500
144,ogaki,大垣城,岐阜県,東海,35.361887,136.615993,平城,750
145,kokokuji,興国寺城,静岡県,東海,35.141468,138.807131,平山城,1000
146,suwahara,諏訪原城,静岡県,東海,34.818330,138.119899,山城,2000
147,takatenjin,高天神城,静岡県,東海,34.698262,138.035571,山城,2000
148,hamamatsu,浜松城,静岡県,東海,34.712340,137.725100,平山城,1000
149,komakiyama,小牧山城,愛知県,東海,35.292222,136.913611,平山城,1000
150,furumiya,古宮城,愛知県,東海,34.972420,137.427840,山城,1500
151,yoshida,吉田城,愛知県,東海,34.769562,137.396043,平城,750
152,tsu,津城,三重県,東海,34.717780,136.507490,平城,750
153,taki_kitabatake,多気北畠氏城館,三重県,東海,34.523190,136.289600,館・山城,2500
154,tamaru,田丸城,三重県,東海,34.490550,136.628084,平山城,1000
155,akagi,赤木城,三重県,東海,33.896111,135.951667,平山城,1000
156,kamaha,鎌刃城,滋賀県,近畿,35.297030,136.315390,山城,2000
157,hachiman_yama,八幡山城,滋賀県,近畿,35.143924,136.082919,山城,2000
158,fukuchiyama,福知山城,京都府,近畿,35.296870,135.129709,平山城,1000
159,akutagawayama,芥川山城,大阪府,近畿,34.879722,135.589166,山城,2000
160,iimori,飯盛城,大阪府,近畿,34.726531,135.653641,山城,1500
161,kishiwada,岸和田城,大阪府,近畿,34.458817,135.370742,平城,750
162,izushi_arikoyama,出石城・有子山城,兵庫県,近畿,35.455100,134.877300,平山城・山城,2500
163,kuroi,黒井城,兵庫県,近畿,35.179167,135.104056,山城,1500
164,sumoto,洲本城,兵庫県,近畿,34.337702,134.902893,平山城,1000
165,yamato_koriyama,大和郡山城,奈良県,近畿,34.651445,135.777109,平山城,1000
166,uda_matsuyama,宇陀松山城,奈良県,近畿,34.510000,135.950000,山城,1500
167,shingu,新宮城,和歌山県,近畿,33.730007,135.992236,平山城,1000
168,wakasa_onigajo,若桜鬼ヶ城,鳥取県,中国,35.336633,134.397992,山城,1500
169,yonago,米子城,鳥取県,中国,35.425030,133.324397,平山城,1000
170,hamada,浜田城,島根県,中国,34.903185,132.073538,平山城,1000
171,bitchu_takamatsu,備中高松城,岡山県,中国,34.692810,133.822060,平城,750
172,mihara,三原城,広島県,中国,34.401283,133.082658,平城・海城,1200
173,niitakayama,新高山城,広島県,中国,34.419327,132.976328,山城,1500
174,ouchi_konomine,大内氏館・高嶺城,山口県,中国,34.184800,131.471500,館・山城,2500
175,shozui,勝瑞城,徳島県,四国,34.132026,134.522999,平城,750
176,ichinomiya,一宮城,徳島県,四国,34.034050,134.463233,山城,1500
177,hiketa,引田城,香川県,四国,34.233768,134.408417,山城,1500
178,noshima,能島城,愛媛県,四国,34.182778,133.080833,海城,2000
179,kagomori,河後森城,愛媛県,四国,33.225068,132.708330,山城,1500
180,okoh,岡豊城,高知県,四国,33.594974,133.622552,山城,1500
181,kokura,小倉城,福岡県,九州・沖縄,33.885000,130.874000,平城,750
182,mizuki,水城,福岡県,九州・沖縄,33.517194,130.489333,古代防衛施設,2500
183,kurume,久留米城,福岡県,九州・沖縄,33.328551,130.507822,平城,750
184,kiijo,基肄城,佐賀県,九州・沖縄,33.444539,130.510514,古代山城,2000
185,karatsu,唐津城,佐賀県,九州・沖縄,33.453500,129.978194,平山城,1000
186,kaneda,金田城,長崎県,九州・沖縄,34.300810,129.273416,古代山城,2000
187,fukue,福江城,長崎県,九州・沖縄,32.698958,128.846034,平城・海城,1200
188,hara,原城,長崎県,九州・沖縄,32.632778,130.254444,平山城,1000
189,kikuchi,鞠智城,熊本県,九州・沖縄,33.002180,130.785800,古代山城,2000
190,yatsushiro,八代城,熊本県,九州・沖縄,32.507095,130.600510,平城,750
191,nakatsu,中津城,大分県,九州・沖縄,33.602777,131.187777,平城・海城,1200
192,tsunomure,角牟礼城,大分県,九州・沖縄,33.309637,131.154112,山城,1500
193,usuki,臼杵城,大分県,九州・沖縄,33.121615,131.803124,平山城・海城,1000
194,saiki,佐伯城,大分県,九州・沖縄,32.938610,131.856360,山城,1500
195,nobeoka,延岡城,宮崎県,九州・沖縄,32.580561,131.662969,平山城,1000
196,sadowara,佐土原城,宮崎県,九州・沖縄,32.047936,131.425844,山城,1500
197,shibushi,志布志城,鹿児島県,九州・沖縄,31.495635,131.135102,山城,1500
198,chiran,知覧城,鹿児島県,九州・沖縄,31.367538,130.443553,山城,1500
199,zakimi,座喜味城,沖縄県,九州・沖縄,26.408139,127.742194,グスク,1500
200,katsuren,勝連城,沖縄県,九州・沖縄,26.330833,127.878611,グスク,1500
